age,bpmag,distance,dmdeep,eep,feh,kmag,logage,logg,mass,mmax,mmin,parallax,radius,rpmag,teff
2.0372164,8.993747,0.13111961,0.019849673,350.20203,0.22072724,7.7406235,9.309037,4.1763244,1.3813922,1.7860398,0.10000001,7.626624,1.589322,8.372602,6400.659
4.0000787,9.088027,0.13562483,0.0015386011,405.2609,-0.12198156,7.741253,9.602068,4.073607,1.2123868,1.3267695,0.099999994,7.373281,1.6768899,8.447325,6272.4116
3.9003866,9.05466,0.13564903,0.0017263512,404.3067,-0.12259668,7.712202,9.591107,4.0659285,1.2224951,1.3371515,0.1,7.3719664,1.6987702,8.4157095,6278.951
3.891536,9.053898,0.13565725,0.0017899615,404.12457,-0.12051582,7.7098837,9.59012,4.0652966,1.2239133,1.3387394,0.1,7.371519,1.7010424,8.41414,6276.2954
3.9029536,9.096211,0.13541071,0.011142676,402.83765,-0.11388469,7.7426248,9.5913925,4.0772696,1.2192721,1.3395013,0.1,7.38494,1.6759689,8.452041,6261.76
3.8937972,9.079769,0.13539939,0.010828671,402.9535,-0.11400297,7.7254605,9.590373,4.0716114,1.2226267,1.3404589,0.099999994,7.385558,1.6882856,8.435226,6259.992
3.913456,9.110168,0.13514411,0.007999655,402.5609,-0.06425175,7.723536,9.59256,4.072804,1.2323437,1.3533251,0.1,7.3995085,1.6941953,8.4489765,6205.8926
3.9075904,9.102999,0.13517857,0.007618349,402.6111,-0.061017007,7.7142506,9.591908,4.069627,1.235028,1.3549398,0.10000001,7.397623,1.701889,8.440675,6201.993
4.3859577,9.19347,0.13237125,0.0029325415,407.30124,0.00038519502,7.734659,9.642064,4.081841,1.2147834,1.3257227,0.1,7.5545106,1.6613115,8.497474,6088.16
2.992417,8.954131,0.13111243,0.0066589955,380.28128,-0.06332111,7.7030773,9.476022,4.1219387,1.2748315,1.4725559,0.1,7.6270423,1.6276219,8.351236,6422.988
3.0615718,9.062415,0.13318886,0.008469585,379.02957,0.10451713,7.708308,9.485944,4.1139903,1.3146646,1.518021,0.1,7.5081353,1.667395,8.404959,6248.5596
2.9426517,9.035874,0.13321528,0.005506403,376.69138,0.08905375,7.7108493,9.468738,4.1187663,1.316831,1.5318732,0.1,7.506646,1.6601381,8.391842,6294.1587
